id,url,type,desc,source,date,criticality_level,connectiontype
769682,kampanyacekilisbasvuruekrani10.duckdns.org,domain,MD,US,2024-08-08 03:09:43.586713,7,OT
769680,securehuntin.duckdns.org,domain,MD,US,2024-08-08 03:08:06.396254,7,OT
769678,legacysoud.duckdns.org,domain,MD,US,2024-08-08 03:07:53.12679,7,OT
769676,christyrusike21.duckdns.org,domain,MD,US,2024-08-08 03:07:30.778578,7,OT
769674,pxfcft.duckdns.org,domain,MD,US,2024-08-08 03:07:00.919816,7,OT
769672,szqssddff.duckdns.org,domain,MD,US,2024-08-08 03:06:54.620182,7,OT
769670,dave7754.duckdns.org,domain,MD,US,2024-08-08 03:06:51.542071,7,OT
769668,heieieueiah.duckdns.org,domain,MD,US,2024-08-08 03:06:48.562199,7,OT
769666,sihlcl4j.duckdns.org,domain,MD,US,2024-08-08 03:06:45.39699,7,OT
769664,closeconection.duckdns.org,domain,MD,US,2024-08-08 03:06:42.31388,7,OT
769662,ffofficialbaru65.duckdns.org,domain,MD,US,2024-08-08 03:06:39.113238,7,OT
769660,freefirenewgiveaway.duckdns.org,domain,MD,US,2024-08-08 03:06:34.029597,7,OT
769658,tzy189.duckdns.org,domain,MD,US,2024-08-08 03:06:14.429498,7,OT
769656,13rq6v5d.duckdns.org,domain,MD,US,2024-08-08 03:06:11.675563,7,OT
769654,25836165204.duckdns.org,domain,MD,US,2024-08-08 03:06:06.65382,7,OT
769652,487568u4.duckdns.org,domain,MD,US,2024-08-08 03:06:03.431198,7,OT
769650,7qvvb9.duckdns.org,domain,MD,US,2024-08-08 03:05:58.035346,7,OT
769648,dc8una68.duckdns.org,domain,MD,US,2024-08-08 03:05:54.258985,7,OT
769646,dejyuadtgv.duckdns.org,domain,MD,US,2024-08-08 03:05:50.385108,7,OT
769644,dsfvdolktp.duckdns.org,domain,MD,US,2024-08-08 03:05:47.229924,7,OT
769722,ensszldi-gncllmarktinxfirsttlrinda.click,domain,BP,US,2024-08-08 08:01:35.64634,4,PH
769720,zsupersubegiris.com,domain,BP,IH,2024-08-08 07:41:45.561246,4,PH
769718,a101.esepetiniz.com.tr,domain,PH,IH,2024-08-08 07:19:43.389077,4,PH
769716,tamprndv.pages.dev,domain,PH,IH,2024-08-08 07:05:34.29884,4,PH
769714,holisopitaki.com,domain,BP,IH,2024-08-08 06:07:39.254054,4,PH
769712,a101onlineislemler.bikmadimbikamiyorum.com,domain,BP,IH,2024-08-08 05:50:59.709514,4,PH
769710,market.persembeagustoshye.com,domain,BP,IH,2024-08-08 05:38:55.164762,4,PH
769708,intarnetim.store,domain,BP,IH,2024-08-08 05:26:36.577449,4,PH
769706,sokmarketkampanya.b-cdn.net,domain,BP,US,2024-08-08 05:26:36.521108,4,PH
769704,hhhzlicasrrggg.click,domain,BP,IH,2024-08-08 05:12:13.783968,4,PH
769702,siparisinsepette.com,domain,BP,IH,2024-08-08 05:11:45.636482,4,PH
769700,s-sahibinden.tmguvendeh.online,domain,BP,IH,2024-08-08 05:11:13.315088,4,PH
769698,sahibinden-guvenli.alisveristr.sa.com,domain,BP,IH,2024-08-08 05:11:00.007257,4,PH
769696,sahibinden.alisverishizmetleri.com.tr,domain,BP,IH,2024-08-08 05:10:52.886035,4,PH
769694,sahibinden.guvenli-siparisin.com,domain,BP,IH,2024-08-08 05:10:45.575269,4,PH
769692,sahibinden.tedarik-et.online,domain,BP,IH,2024-08-08 05:10:37.416615,4,PH
769690,sahibindenparamguvende.online-tr.sa.com,domain,BP,IH,2024-08-08 05:10:30.076916,4,PH
769688,sahibinden-get.ilanlarimiz.com.pl,domain,BP,IH,2024-08-08 05:10:20.796668,4,PH
769686,s-paramguvende.jet-servisler.online,domain,BP,IH,2024-08-08 05:10:13.47648,4,PH
769684,menavakfi.org,domain,BP,IH,2024-08-08 05:08:05.490365,4,PH
769602,eida7t.duckdns.org,domain,MD,US,2024-08-08 03:04:27.847131,7,OT
769600,ej2d795.duckdns.org,domain,MD,US,2024-08-08 03:04:23.268356,7,OT
769598,xdowi03k.duckdns.org,domain,MD,US,2024-08-08 03:04:19.296297,7,OT
769596,f6l92xl.duckdns.org,domain,MD,US,2024-08-08 03:04:15.522589,7,OT
769594,herzamancekilis.duckdns.org,domain,MD,US,2024-08-08 03:04:12.475979,7,OT
769592,drocrhvyvp.duckdns.org,domain,MD,US,2024-08-08 03:04:09.340778,7,OT
769590,e83518nk.duckdns.org,domain,MD,US,2024-08-08 03:04:03.863367,7,OT
769588,f9nn4low.duckdns.org,domain,MD,US,2024-08-08 03:04:00.042855,7,OT
769586,dff2vj.duckdns.org,domain,MD,US,2024-08-08 03:03:56.400392,7,OT
769584,diljlw.duckdns.org,domain,MD,US,2024-08-08 03:03:53.359334,7,OT
769582,et-pp1.duckdns.org,domain,MD,US,2024-08-08 03:03:46.895179,7,OT
769580,f8qifmc49.duckdns.org,domain,MD,US,2024-08-08 03:03:41.685238,7,OT
769578,fcj26f30.duckdns.org,domain,MD,US,2024-08-08 03:03:36.216947,7,OT
769576,fdgkhghffggh.duckdns.org,domain,MD,US,2024-08-08 03:03:29.263399,7,OT
769574,bokoloex-gegemukosupp.duckdns.org,domain,MD,US,2024-08-08 03:03:25.715395,7,OT
769572,frfksbovvs.duckdns.org,domain,MD,US,2024-08-08 03:03:22.761863,7,OT
769570,fen5sjs6s.duckdns.org,domain,MD,US,2024-08-08 03:03:17.219353,7,OT
769568,agustoscekilis.duckdns.org,domain,MD,US,2024-08-08 03:03:12.308567,7,OT
769566,cfquoiy.duckdns.org,domain,MD,US,2024-08-08 03:03:07.246981,7,OT
769564,84b7bxlbd.duckdns.org,domain,MD,US,2024-08-08 03:03:04.111011,7,OT
769562,lh8nc0v.duckdns.org,domain,MD,US,2024-08-08 03:02:59.95883,7,OT
769560,k9ffxa0.duckdns.org,domain,MD,US,2024-08-08 03:02:50.293424,7,OT
769558,1nvwrr.duckdns.org,domain,MD,US,2024-08-08 03:02:42.481292,7,OT
769556,r6im45.duckdns.org,domain,MD,US,2024-08-08 03:02:39.379926,7,OT
769554,h8c523nle.duckdns.org,domain,MD,US,2024-08-08 03:02:35.50584,7,OT
769552,31aoom3qq.duckdns.org,domain,MD,US,2024-08-08 03:02:32.589438,7,OT
769550,1pumnu6o.duckdns.org,domain,MD,US,2024-08-08 03:02:25.609228,7,OT
769548,4ijlq2i.duckdns.org,domain,MD,US,2024-08-08 03:02:19.011502,7,OT
769546,7y70mgb.duckdns.org,domain,MD,US,2024-08-08 03:02:14.419243,7,OT
769544,z5y7xc8.duckdns.org,domain,MD,US,2024-08-08 03:02:09.022261,7,OT
769542,znga8x3.duckdns.org,domain,MD,US,2024-08-08 03:02:03.644616,7,OT
769540,b2eayq.duckdns.org,domain,MD,US,2024-08-08 03:01:56.623182,7,OT
769538,78tqyu.duckdns.org,domain,MD,US,2024-08-08 03:01:51.257267,7,OT
769536,drsw5iivd.duckdns.org,domain,MD,US,2024-08-08 03:01:44.952952,7,OT
769534,zbmknz.duckdns.org,domain,MD,US,2024-08-08 03:01:40.025808,7,OT
769532,xaakpdtj.duckdns.org,domain,MD,US,2024-08-08 03:01:36.99662,7,OT
769530,xkq7il.duckdns.org,domain,MD,US,2024-08-08 03:01:33.934923,7,OT
769528,o6z61sru.duckdns.org,domain,MD,US,2024-08-08 03:01:27.520867,7,OT
769526,gs1skvgj.duckdns.org,domain,MD,US,2024-08-08 03:01:21.576324,7,OT
769524,jd4egd2o7.duckdns.org,domain,MD,US,2024-08-08 03:01:17.62364,7,OT
769642,dzwyohnwtg.duckdns.org,domain,MD,US,2024-08-08 03:05:44.59754,7,OT
769640,e2j0pwpk.duckdns.org,domain,MD,US,2024-08-08 03:05:39.775357,7,OT
769638,e9nuczm.duckdns.org,domain,MD,US,2024-08-08 03:05:36.691987,7,OT
769636,e8hvsi6q5.duckdns.org,domain,MD,US,2024-08-08 03:05:32.888326,7,OT
769634,elcgimuwzl.duckdns.org,domain,MD,US,2024-08-08 03:05:29.09055,7,OT
769632,epkwfdjbuh.duckdns.org,domain,MD,US,2024-08-08 03:05:23.596908,7,OT
769630,f9zaz5n46.duckdns.org,domain,MD,US,2024-08-08 03:05:20.101486,7,OT
769628,facqjt767.duckdns.org,domain,MD,US,2024-08-08 03:05:16.568673,7,OT
769626,fb3izu.duckdns.org,domain,MD,US,2024-08-08 03:05:13.049919,7,OT
769624,fbzvspmbza.duckdns.org,domain,MD,US,2024-08-08 03:05:08.49258,7,OT
769622,feizgnlift.duckdns.org,domain,MD,US,2024-08-08 03:05:05.416266,7,OT
769620,235yqwis4.duckdns.org,domain,MD,US,2024-08-08 03:04:59.088326,7,OT
769618,3wqexr7s.duckdns.org,domain,MD,US,2024-08-08 03:04:55.776033,7,OT
769616,dldeatrewg.duckdns.org,domain,MD,US,2024-08-08 03:04:52.689069,7,OT
769614,dk66j6nx8.duckdns.org,domain,MD,US,2024-08-08 03:04:49.772312,7,OT
769612,dpsyjmipjw.duckdns.org,domain,MD,US,2024-08-08 03:04:46.565356,7,OT
769610,dtkpdqqvax.duckdns.org,domain,MD,US,2024-08-08 03:04:43.425032,7,OT
769608,du0pc9ual.duckdns.org,domain,MD,US,2024-08-08 03:04:39.946708,7,OT
769606,dvuugwzaqb.duckdns.org,domain,MD,US,2024-08-08 03:04:36.667952,7,OT
769604,ebbe538q9.duckdns.org,domain,MD,US,2024-08-08 03:04:33.164307,7,OT
